X,Y,SUM(Correlation)
UsedRv,UnAdjSubSidy,-0.00037341633386467257
UsedRv,UnappliedInt,0.0036560891685344485
UsedRv,ProvUnsecured,0.014175372635539665
UsedRv,TotalWriteOff,0.0017121072053210371
UsedRv,AppropriatedRv,0.008999162416700512
UsedRv,OrgCostOfEquip,0.012061952822787943
UsedRv,TotLimitFunded,0.8288939690647132
UsedRv,Cust_AssetClass,-0.012529256297667041
UsedRv,LimitSanctioned,0.9534190619792943
UsedRv,PriCashSecurity,0.0012882134573301393
UsedRv,CollCashSecurity,0.004344848344449448
UsedRv,CollNonCRMSecurity,0.001310109164152385
UsedRv,NextOneYrFacStatus,-0.006847607838988575
UsedRv,OrgCostOfPlantMech,0.008179752526565396
Balance,Age,0.015907074583963374
Balance,CAD,0.37244128940686755
Balance,UsedRv,0.9863642394845118
Balance,Balance,1
Balance,Product,0.027440931785675738
Balance,TotOsNF,0.00965435343933233
Balance,AdhocAmt,0.033535849768271085
Balance,InttRate,0.09423028255498621
Balance,InttType,0.019137812541605136
Balance,TotalAdv,0.791792032628895
Balance,CURQTRINT,0.695532392993169
Balance,GLProduct,0.006926628346588512
Balance,PRVQTRINT,0.5924155456010602
Balance,RvPrimary,0.014544098725890964
Balance,Unsecured,0.10159699580866619
Balance,CoverGovGur,0.0005740567741453581
Balance,DepValPlant,0.005598018435497614
Balance,ACCTotalProv,0.47846604791251934
Balance,BaselCatMark,-0.007283203346607231
Balance,CURRENTLIMIT,0.9552595279801179
Balance,CurQtrCredit,0.1327182984069597
Balance,DRAWINGPOWER,-0.0002595368232887453
Balance,PREQTRCREDIT,0.005266885867512361
Balance,UnAdjSubSidy,0.00030928307715841224
Balance,UnappliedInt,0.002639941424100087
Balance,ProvUnsecured,0.03215553181837266
Balance,TotalWriteOff,0.000021887614649008674
Balance,AppropriatedRv,0.008687579445676307
Balance,OrgCostOfEquip,0.013974142220706474
Balance,TotLimitFunded,0.838985150874152
Balance,Cust_AssetClass,-0.014140357921764329
Balance,LimitSanctioned,0.9574804435716183
Balance,PriCashSecurity,0.0013595876111119588
Balance,CollCashSecurity,0.0052128493974067346
Balance,CollNonCRMSecurity,0.0012970655015724008
Balance,NextOneYrFacStatus,-0.008602021697965654
Balance,OrgCostOfPlantMech,0.008773469530932339
Product,Age,-0.09050564466034902
Product,CAD,0.003236427069306386
Product,UsedRv,0.02682746011748659
Product,Balance,0.027440931785675738
Product,Product,1
Product,TotOsNF,0.001439851172781233
Product,AdhocAmt,0.00760189808601148
Product,InttRate,0.2553241990991788
Product,InttType,0.3855236054694282
Product,TotalAdv,0.03017867139653221
Product,CURQTRINT,0.011205171436593988
Product,GLProduct,0.7997912065690546
Product,PRVQTRINT,0.0016180418794367218
Product,RvPrimary,-0.0010482177967679116
Product,Unsecured,0.0012761111148497813
Product,CoverGovGur,0.0028710568252650324
Product,DepValPlant,0.0017896965566732465
Product,ACCTotalProv,0.008990548797239173
Product,BaselCatMark,0.025161878167703138
Product,CURRENTLIMIT,0.047271861876096166
Product,CurQtrCredit,0.029814170879649948
Product,DRAWINGPOWER,0.005414304560017688
Product,PREQTRCREDIT,0.00010363522379312904
