ACID,D2D,PD,EAD,LGD,K,RWA,Risk Wt,Res Exp,Provision
006223062_061151000067_2018-06-30,0.0,0.9998,87500.0,1.0,0.0002,259.0,0.3,0.0,0.0
110990829_133754031467_2015-09-30,0.4,0.8328,136000.0,0.4221,0.0597,101449.0,74.6,0.0,0.0
117171323_061751024105_2018-06-30,0.1,0.9515,858037.0,1.0,0.0458,491759.0,57.31,1.0,0.0
106211152_130254031337_2016-06-30,0.0,0.998,1375000.0,1.0,0.002,34023.0,2.47,1.0,0.0
104505833_060354024106_2017-09-30,0.0,0.9999,145000.0,0.9961,0.0001,179.0,0.12,11.0,1.0
100210912_060313023966_2018-06-30,0.0,0.9995,1068516.0,0.9933,0.0005,6204.0,0.58,1.0,0.0
008438601_029313001038_2015-09-30,0.0,0.9971,1083516.0,0.829,0.0024,32281.0,2.98,0.0,0.0
100539541_062251031014_2016-09-30,0.0,0.9999,300000.0,0.7473,0.0001,198.0,0.07,5.0,0.0
011529749_034254031101_2017-09-30,0.0,0.9992,27376.0,0.942,0.0007,244.0,0.89,106.0,11.0
104505908_060354024107_2015-12-31,0.0,0.9996,145000.0,0.8761,0.0003,611.0,0.42,1.0,0.0
008757451_059151000063_2018-06-30,0.0,0.9999,100000.0,1.0,0.0001,122.0,0.12,1.0,0.0
008438760_029354001297_2017-03-31,0.0,0.9999,60000.0,0.9989,0.0001,62.0,0.1,24.0,2.0
109588122_019454024110_2015-09-30,1.5,0.4572,30000.0,0.5422,0.1544,57882.0,192.94,1.0,0.0
117805732_061754023909_2018-06-30,1.5,0.474,50000.0,1.0,0.2841,177565.0,355.13,1.0,0.0
104514131_060354024323_2016-09-30,0.9,0.6474,95800.0,0.8691,0.2125,254458.0,265.61,18.0,2.0
003329169_060354000150_2017-12-31,0.0,1.0,50000.0,1.0,0.0,23.0,0.05,42.0,4.0
111536019_027213032044_2017-03-31,1.6,0.4315,1048516.0,0.2328,0.0662,867521.0,82.74,441.0,42.0
109068039_166613031028_2016-06-30,3.4,0.1626,1048516.0,0.1137,0.0204,268018.0,25.56,215.0,14.0
102235095_062251031011_2017-09-30,0.0,0.9916,283540.0,0.9907,0.0082,29063.0,10.25,6.0,1.0
100038242_052654023750_2016-12-31,0.0,1.0,8210.0,1.0,0.0,5.0,0.06,192.0,19.0
