D2D,PD,Count,EAD,LGD,K,RWA,Risk Wt,Res Exp
6.7,0.018371882034451,635,1227620675.9650726,0.7890561522671212,0.0561228683192427,708408449.9443209,57.70580960502461,3807678.2350590494
6.8,0.017060516436503,596,1422428454.8200536,0.8106615741905364,0.0553277311194731,853806382.339135,60.02455725951764,114905.31750364848
6.9,0.0158645600030148,592,1202500353.0143063,0.8125623533158285,0.0531254223921143,811088387.6066203,67.4501579624044,1667823.1562308278
7.0,0.0147144804216799,551,3005364289.15383,0.808864917013686,0.0504336327267794,1945244600.125696,64.72575078987798,3269021.20174972
7.1,0.0136601124461273,519,706995910.6257002,0.8063371146698586,0.0478658752904596,395581196.1194241,55.95240229456629,15853403.70599218
7.2,0.0126457593381669,506,505349475.5019064,0.8330535752553375,0.0468589633347384,290932854.2642103,57.57062555081503,3304053.985040393
7.3,0.011734070452529,451,433347708.6513359,0.8265627766891127,0.0440359445617554,214894449.9546628,49.58938184384474,421918.6331213384
7.4,0.0108263654462216,422,612528085.4829748,0.8447863138508398,0.0422901923752274,301439421.9409425,49.21234292518348,8465018.420928493
7.5,0.0100464216330543,371,1167322137.2355354,0.8457524416340513,0.039874879107528,573489194.990149,49.12861468971129,21792.061484584126
7.6,0.0092857876047492,325,361402712.4500705,0.8282544599990629,0.0365610204498057,146185098.18119195,40.44936386618518,1610525.0469184385
7.7,0.0086071400040368,299,2538831080.210965,0.8317056724261048,0.0343692525480754,788647036.5644991,31.063391444655164,42677.99449019013
7.8,0.0079315505248323,289,659327693.6368936,0.7988363320136219,0.0306378559376946,142915045.88333645,21.675874874147624,1622725.709720472
7.9,0.0073164952487148,302,1158040905.6943026,0.8405939237294034,0.0298637550272388,326986140.0214433,28.236147653644323,35510.55611568004
8.0,0.0034044440380646,3978,6692791091.852812,0.872644868552961,0.0132091378772895,1218909307.6887774,18.21227184533767,9710219.785372104
