GL,Age,CAD,Area,CADU,Caste,Scheme,UsedRv,Balance,Product,TotOsNF,Activity,AdhocAmt,District,InttRate,InttType,Religion,TotalAdv,AppGovGur,CURQTRINT,GLProduct,PRVQTRINT,RvPrimary,SubSector,Unsecured,Occupation,TotLimitNF,CoverGovGur,DepValPlant,FORMATGROUP,ACCTotalProv,BaselCatMark,CURRENTLIMIT,Constitution,CurQtrCredit,DRAWINGPOWER,FACILITYTYPE,PREQTRCREDIT,ProcessingDt,UnAdjSubSidy,UnappliedInt,ProvUnsecured,TotalWriteOff,AppropriatedRv,CUSTOMERSTATUS,OrgCostOfEquip,TotLimitFunded,Cust_AssetClass,LimitSanctioned,PriCashSecurity,CollCashSecurity,FACILITIESSTATUS,CollNonCRMSecurity,NextOneYrFacStatus,OrgCostOfPlantMech
TL - TO SSI,62,9486,RURAL,0,GENERAL,DATA / VALUE NOT PROVIDED,0,35873,1077,0,PRIORITY SECTOR OTHERS,2741.8165798845084,GANDHINAGAR,11.6,0,OTHERS,35873,0,0,718,0,37674386.13940598,OTHER PRIORITY SECTOR,35873,DATA / VALUE NOT PROVIDED,0,0,0,C,35873,1,50000,INDIVIDUAL- MALE,0,50000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,35873,0,0,LOS,0,50000,6,50000,254566.47300702962,8444.205467885426,LOS,2035593.8648014432,1,0
TL - TO AGRICULTURE,59,0,RURAL,98756,OBC,ANY OTHER,135315,135315.13,731,0,DRIP SETS,2741.8165798845084,SOLAPUR,11,0,HINDU,290927.13,0,0,309,0,750000,AGRICULTURE - LONG TERM,0,SALARIED OTHERS (WAGE AND SALARY EARNER),0,0,0,C,338,0,300000,INDIVIDUAL- FEMALE,0,300000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,102458.8109805402,0,0,348838,STD,0,450000,1,300000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,50,0,RURAL,0,DATA / VALUE NOT PROVIDED,KISAN CREDIT CARD,79126,79126,283,0,LOAN FOR OTHER FARM CROPS,0,CHHOTAUDEPUR,7,0,HINDU,79126,0,12875,194,22771,100000,AGRICULTURE - SHORT TERM,0,OTHERS,0,0,0,B,198,0,80000,INDIVIDUAL- MALE,172340,80000,CC,23500,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,100000,STD,0,80000,1,80000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,73,0,RURAL,0,CASTE NOT DECLARED,DENA KIASN CRESDIT CARD– PAIS,124177,124177,283,0,BAJRA,0,AHMADNAGAR,7,0,OTHERS,124177,0,0,194,0,300000,AGRICULTURE - SHORT TERM,0,OTHERS,0,0,0,B,310,0,180000,INDIVIDUAL- MALE,0,124000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,1200000,STD,0,180000,1,180000,0,0,STD,900000,0,0
TL - TO SSI,47.3604653021062,0,RURAL,0,DATA / VALUE NOT PROVIDED,DATA / VALUE NOT PROVIDED,434164,543963,1078,0,OTHER MANU. ACTIVITY NOT LISTED ABOVE,2741.8165798845084,GANDHINAGAR,10.65,0,DATA / VALUE NOT PROVIDED,1684950.17,0,0,733,0,1344842,SERVICES - MICRO ENTERPRISES,109799,DATA / VALUE NOT PROVIDED,0,0,0,C,1360,0,600000,PROPRIETORSHIP,0,600000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,16470,0,434164,STD,50000,2000000,1,600000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,47,0,RURAL,0,DATA / VALUE NOT PROVIDED,KISAN CREDIT CARD,257655,257655,283,0,SUGARCANE,0,SOLAPUR,7,0,HINDU,625917.19,0,30345,194,0,1050000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,644,0,250000,INDIVIDUAL- FEMALE,250190,250000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,-1,0,0,1049692,STD,0,681409,1,228000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,32,0,SEMI-URBAN,0,GENERAL,KISAN CREDIT CARD,149466,149465.5,283,0,COTTON,0,BANAS KANTHA,7,0,HINDU,149465.5,0,20775,194,0,200000,AGRICULTURE - SHORT TERM,0,DAILY WAGES & SELF EARNER,0,0,0,B,374,0,150000,INDIVIDUAL- MALE,326498,150000,CC,1262,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,450000,STD,0,150000,1,150000,0,0,STD,250000,0,0
TL - - RETAIL SCHEMES,33,0,RURAL,0,OBC,DENA VEHICLE LOAN,769515,769514.6,179,0,VEHICLES – FOUR WHEELER,2741.8165798845084,AHMADNAGAR,9,0,HINDU,769514.6,0,0,390,0,1088643,OTHER NON PRIORITY SECTOR,0,DATA / VALUE NOT PROVIDED,0,0,0,C,3078,0,800000,INDIVIDUAL- MALE,0,800000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,1088643,STD,0,800000,1,800000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,44,0,RURAL,0,OBC,KISAN CREDIT CARD,97028,97028,283,0,VEGETABLES-MIXED,0,GANDHINAGAR,7,0,HINDU,97028,0,13279,194,6905,150000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,243,0,100000,INDIVIDUAL- MALE,213197,100000,CC,109959,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,150000,STD,0,100000,1,100000,0,0,STD,0,0,0
TL - TO AGRICULTURE,66,157366,RURAL,50439.2,DATA / VALUE NOT PROVIDED,ANY OTHER,157366,157366,838,0,COTTON,2741.8165798845084,SOLAPUR,10.5,0,HINDU,226021,0,0,339,0,400000,AGRICULTURE - LONG TERM,0,OTHERS,0,0,0,C,393,0,125000,INDIVIDUAL- MALE,0,125000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,102458.8109805402,0,0,278498,STD,0,195000,1,125000,0,0,STD,0,1,0
CC-AGRICULTURE ACTIVITIES,76,0,RURAL,0,OBC,DENA KIASN CRESDIT CARD– PAIS,124728,124728,283,0,COTTON,0,KHEDA,7,0,HINDU,147550,0,24558,194,9671,371000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,312,0,151200,INDIVIDUAL- MALE,0,125000,CC,135010,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,524948,STD,0,188200,1,125000,0,0,STD,250000,0,0
CC-AGRICULTURE ACTIVITIES,49,0,RURAL,0,OBC,DENA KIASN CRESDIT CARD– PAIS,80177,80177,283,0,JOWAR,0,AHMADNAGAR,7,0,HINDU,80177,0,0,194,0,150000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,1356312.980403346,B,200,0,80000,INDIVIDUAL- MALE,0,80000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,-1,0,0,1150000,STD,838744.0164565431,80000,1,80000,0,0,STD,1000000,0,17757944.526874457
TL - TO OTHR PRIOR,35,0,RURAL,26163.32,DATA / VALUE NOT PROVIDED,LIGHT COMMERCIAL VEHICLE,191667,191666.79,561,0,TAXI / CAR / TRAVEL AGENCY SERVICES,2741.8165798845084,GANDHINAGAR,16.75,0,DATA / VALUE NOT PROVIDED,191666.79,0,0,370,0,697159,SERVICES - MICRO ENTERPRISES,0,DATA / VALUE NOT PROVIDED,0,0,0,C,479,0,500000,INDIVIDUAL- MALE,0,500000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,697159,STD,50000,500000,1,500000,0,0,STD,0,0,0
TL - TO AGRICULTURE,36,0,RURAL,0,SC,ANY OTHER,535289,535289.2,450,0,OTH DIRECT AGRI FIN,2741.8165798845084,SOLAPUR,13.5,0,OTHERS,1611929.61,0,0,297,0,2200000,AGRICULTURE - LONG TERM,0,FARMER,0,0,0,C,1338,0,635256,INDIVIDUAL- MALE,0,600000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,1394735,STD,0,1708256,1,635256,0,0,STD,2000000,0,0
CC-AGRICULTURE ACTIVITIES,56,0,RURAL,0,CASTE NOT DECLARED,DKCC WITH INSURANCE,299331,299331,283,0,GROUNDNUT,0,PORBANDAR,7,0,HINDU,299331,0,11203,194,0,1200000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,748,0,300000,INDIVIDUAL- MALE,264000,850000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,1200000,STD,0,300000,1,252000,0,0,STD,0,0,0
DL - TO AGRICULTURE,67,0,SEMI-URBAN,0,GENERAL,LOAN AGAINST BANK DEPOSITS,92948,92948,426,0,SUGARCANE,2741.8165798845084,SATARA,10.1,10,HINDU,578946,0,0,471,0,691441,AGRICULTURE - SHORT TERM,0,OTHERS,0,0,0,C,232,0,80000,INDIVIDUAL- MALE,0,80000,DL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,111009,STD,0,542500,1,80000,104058,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,47.3604653021062,0,RURAL,0,GENERAL,KISAN CREDIT CARD,292421,292421,283,0,COTTON,0,SABAR KANTHA,7,0,HINDU,292421,0,40910,194,78559,450000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,731,0,300000,INDIVIDUAL- MALE,648484,300000,CC,1292328,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,102458.8109805402,0,0,450000,STD,0,300000,1,300000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,42,0,RURAL,0,OBC,KISAN CREDIT CARD,159320,159320,283,0,SUGARCANE,0,SOLAPUR,12,0,HINDU,159320,0,29271,194,47767,225000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,398,0,125000,INDIVIDUAL- MALE,3302,125000,CC,331532,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,225000,STD,0,125000,1,125000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,47,0,RURAL,0,SC,KISAN CREDIT CARD,141346,141346,283,0,PADDY,0,KHEDA,7,0,HINDU,141346,0,26634,194,14077,600000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,353,0,150000,INDIVIDUAL- MALE,429375,150000,CC,220010,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,1300000,STD,0,150000,1,200000,0,0,STD,700000,0,0
CC-AGRICULTURE ACTIVITIES,68,0,SEMI-URBAN,0,DATA / VALUE NOT PROVIDED,DKCC WITH INSURANCE,318839,318839.33,283,0,CROP LOAN FOR SEED CULTIVATION,0,SATARA,7,0,HINDU,318839.33,0,42915,194,171602,617000,AGRICULTURE - SHORT TERM,0,OTHERS,0,0,0,B,797,0,300000,INDIVIDUAL- MALE,1085295,300000,CC,3929038,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,617000,STD,0,300000,1,300000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,47,0,RURAL,0,CASTE NOT DECLARED,KISAN CREDIT CARD,0,0,283,0,COTTON,0,GANDHINAGAR,7,0,HINDU,8337,0,0,194,0,904000,AGRICULTURE - SHORT TERM,1,FARMER,0,0,0,B,0,0,40000,INDIVIDUAL- MALE,0,40000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,102458.8109805402,0,0,0,STD,50000,120000,1,40000,0,0,STD,0,0,0
DL - TO AGRICULTURE,47.3604653021062,0,RURAL,0,CASTE NOT DECLARED,KISAN TATTKAL SCHEME,29007,29006.56,399,0,SUGARCANE,2741.8165798845084,SOLAPUR,9.7,0,HINDU,623115.89,0,0,480,0,1150000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,C,73,0,50000,INDIVIDUAL- FEMALE,0,50000,DL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,-1,0,0,123360,STD,0,681143,1,50000,0,0,STD,0,0,0
TL - TO AGRICULTURE,51,0,RURAL,0,DATA / VALUE NOT PROVIDED,ANY OTHER,353075,353074.5,731,0,DUG WELLS,2741.8165798845084,NASHIK,10.2,0,DATA / VALUE NOT PROVIDED,672427.9,0,0,309,0,1750000,AGRICULTURE - LONG TERM,0,FARMER,0,0,0,C,883,0,300000,INDIVIDUAL- MALE,0,300000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,1969028,STD,0,550000,1,300000,0,0,STD,2000000,1,0
TL - TO AGRICULTURE,58,31525,SEMI-URBAN,31525,GENERAL,ANY OTHER,76522,118928,838,0,BANANA,2741.8165798845084,SATARA,10.5,0,HINDU,155416,0,0,339,0,100000,AGRICULTURE - LONG TERM,42406,FARMER,0,0,0,C,118928,1,90000,INDIVIDUAL- MALE,0,90000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,42406,0,76522,DB3,0,124294,5,90000,254566.47300702962,8444.205467885426,DB3,2035593.8648014432,1,0
TL - TO SSI,51,0,URBAN,0,GENERAL,ANY OTHER STATE GOVT. FUNDED SCHEME,100000,100000,226,0,TENT HOUSE,2741.8165798845084,GANDHINAGAR,0,0,HINDU,190484,0,0,287,0,600000,SERVICES - MICRO ENTERPRISES,0,BUSINESSMAN / TRADER,0,0,0,C,250,0,100000,INDIVIDUAL- MALE,0,85000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,314987,STD,25000,500000,1,100000,100000,0,STD,0,0,0
TL - TO AGRICULTURE,47,0,RURAL,0,CASTE NOT DECLARED,ANY OTHER,640853,640853.1,838,0,OTH DIRECT AGRI FIN,2741.8165798845084,SOLAPUR,10.6,0,HINDU,1555267.1,0,0,339,0,2000000,AGRICULTURE - LONG TERM,0,OTHERS,0,0,0,C,1602,0,570000,INDIVIDUAL- MALE,0,570000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,2884374,STD,0,1470000,1,570000,0,0,STD,5000000,0,0
CC-AGRICULTURE ACTIVITIES,23,0,RURAL,0,GENERAL,KISAN CREDIT CARD,218966,218965.5,283,0,TOBACCO,0,KHEDA,7,0,HINDU,218965.5,0,29596,194,0,350000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,547,0,300000,INDIVIDUAL- FEMALE,481478,226000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,-1,0,0,1550000,STD,0,300000,1,300000,0,0,STD,1200000,0,0
TL - TO AGRICULTURE,45,8443,SEMI-URBAN,8443,DATA / VALUE NOT PROVIDED,ANY OTHER,30043,30043,838,0,BORE WELL,2741.8165798845084,LATUR,13.25,0,DATA / VALUE NOT PROVIDED,57703,0,0,339,0,250000,AGRICULTURE - LONG TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,C,12017,1,36000,INDIVIDUAL- MALE,0,36000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,130162,DB2,0,60000,4,36000,0,0,DB2,0,1,0
CC-AGRICULTURE ACTIVITIES,69,0,RURAL,0,CASTE NOT DECLARED,KISAN CREDIT CARD,330000,519876.23,283,0,VEGETABLES-MIXED,0,GANDHINAGAR,11,0,OTHERS,519876.23,0,42624,194,116861,330000,AGRICULTURE - SHORT TERM,189876,FARMER,0,0,0,B,1300,0,732000,INDIVIDUAL- MALE,357383,500000,CC,1730334,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,475,0,330000,STD,0,732000,1,330000,0,0,STD,0,0,0
TL - TO AGRICULTURE,53,0,RURAL,0,DATA / VALUE NOT PROVIDED,ANY OTHER,743879,743879,731,0,COTTON,2741.8165798845084,SOLAPUR,12,0,HINDU,989067,0,0,309,0,4500000,AGRICULTURE - LONG TERM,0,OTHERS,0,0,1356312.980403346,C,1860,0,1250000,INDIVIDUAL- MALE,0,1250000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,3384458,STD,838744.0164565431,2250000,1,1250000,0,0,STD,0,0,17757944.526874457
OD-TRADE AND SERVICES,47.3604653021062,0,SEMI-URBAN,0,DATA / VALUE NOT PROVIDED,DENA GENERAL CREDIT CARD,0,25174,220,0,INDIRECT FINANCE TO AGRICULTURE,0,RAJKOT,15.5,0,HINDU,25174,0,7683,231,11130,37674386.13940598,AGRICULTURE - LONG TERM,25174,BUSINESSMAN / TRADER,0,0,0,B,63,0,25000,OTHER,20800,25000,OD,30500,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,63,0,0,STD,0,25000,1,25000,254566.47300702962,8444.205467885426,STD,2035593.8648014432,0,0
CC-AGRICULTURE ACTIVITIES,64,0,SEMI-URBAN,0,DATA / VALUE NOT PROVIDED,KISAN CREDIT CARD,34698,34698,283,0,SUGARCANE,0,LATUR,7,0,DATA / VALUE NOT PROVIDED,34698,0,0,194,6877,250000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,8674,1,35000,INDIVIDUAL- MALE,0,35000,CC,322,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,250000,DB1,0,35000,3,35000,0,0,DB1,0,1,0
CC-AGRICULTURE ACTIVITIES,73,0,SEMI-URBAN,0,GENERAL,KISAN CREDIT CARD,0,0,283,0,VEGETABLES-MIXED,0,GANDHINAGAR,7,0,HINDU,0,0,0,194,0,4500000,AGRICULTURE - SHORT TERM,1,FARMER,0,0,0,B,0,0,650000,INDIVIDUAL- FEMALE,0,650000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,0,STD,0,650000,1,650000,0,0,STD,0,0,0
CC-RETAIL,47.3604653021062,5858,SEMI-URBAN,0,DATA / VALUE NOT PROVIDED,TRADE FINANCE SCHEME,5859,5858,779,0,ANY OTHER TYPE OF RTL TRADE,0,KOLHAPUR,12.75,20,HINDU,5858,0,0,191,0,100000,OTHER PRIORITY SECTOR,0,OTHERS,0,0,0,B,5859,1,100000,PROPRIETORSHIP,0,100000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,586,0,0,100000,DB3,150000,100000,5,100000,0,0,DB3,0,1,150000
CC-AGRICULTURE ACTIVITIES,56,0,RURAL,0,GENERAL,KISAN CREDIT CARD,146615,146615,283,0,COTTON,0,KHEDA,7,0,HINDU,146615,0,31245,194,23784,400000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,367,0,147000,INDIVIDUAL- MALE,188430,147000,CC,174000,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,2700000,STD,0,147000,1,150000,0,0,STD,2300000,0,0
CC-AGRICULTURE ACTIVITIES,52,0,SEMI-URBAN,0,GENERAL,KISAN CREDIT CARD,0,0,283,0,SUGARCANE,0,LATUR,12.25,0,HINDU,0,0,0,194,0,100000,AGRICULTURE - SHORT TERM,1,DATA / VALUE NOT PROVIDED,0,0,0,B,0,0,72000,INDIVIDUAL- FEMALE,0,72000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,0,STD,0,72000,1,72000,0,0,STD,0,0,0
TL - TO SSI,56,0,SEMI-URBAN,0,CASTE NOT DECLARED,PMMY,132939,132939.09,1076,0,AUTO RICKSHAWS,2741.8165798845084,GANDHINAGAR,10.3,0,MUSLIM,132939.09,0,0,729,0,176000,SERVICES - MICRO ENTERPRISES,0,DAILY WAGES & SELF EARNER,0,0,0,C,332,0,138000,INDIVIDUAL- MALE,0,138000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,176000,STD,50000,138000,1,138000,0,0,STD,0,1,50000
CC-SSI,47.3604653021062,0,METROPOLITAN,0,DATA / VALUE NOT PROVIDED,ANY OTHER,2508201,2508201.32,270,30000,MANUFACTURE OF OTHER MACHINERY,0,PUNE,16.25,0,DATA / VALUE NOT PROVIDED,3443755.32,0,69600,179,44107,17181440,OTHER PRIORITY SECTOR,0,DATA / VALUE NOT PROVIDED,0,0,0,B,6271,0,6000000,PARTNERSHIP,7465133,6008705,CC,7479644,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,25628572,STD,0,8343000,1,5000000,0,0,STD,5900000,0,8700000
OD-AGRICULTURE ACTIVITIES,41,0,URBAN,0,DATA / VALUE NOT PROVIDED,DATA / VALUE NOT PROVIDED,0,903022,405,0,LOAN FOR OTHER FARM CROPS,0,SOLAPUR,11,0,DATA / VALUE NOT PROVIDED,903022,0,180857,255,143058,37674386.13940598,AGRICULTURE - SHORT TERM,903022,OTHERS,0,0,0,B,903022,1,750000,INDIVIDUAL- MALE,41500,750000,OD,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,903022,0,0,LOS,0,750000,6,750000,254566.47300702962,8444.205467885426,LOS,2035593.8648014432,1,0
TL - TO AGRICULTURE,46,0,SEMI-URBAN,13689,DATA / VALUE NOT PROVIDED,ANY OTHER,9198,9198,307,0,GOAT REARING,2741.8165798845084,LATUR,12.25,0,DATA / VALUE NOT PROVIDED,9198,0,0,294,0,25000,AGRICULTURE - LONG TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,C,9198,1,21300,INDIVIDUAL- FEMALE,0,21300,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,1762,0,0,25000,DB3,0,21300,5,21300,0,0,DB3,0,1,0
TL - TO OTHR PRIOR,52,22453,URBAN,71021.79,DATA / VALUE NOT PROVIDED,ANY OTHER,104353,104352,561,0,AUTO RICKSHAWS – 6 SEATER,2741.8165798845084,GANDHINAGAR,12.8,0,DATA / VALUE NOT PROVIDED,104352,0,0,370,0,164950,SERVICES - MEDIUM ENTERPRISES-NPS,0,DATA / VALUE NOT PROVIDED,0,0,0,C,104353,1,126000,INDIVIDUAL- MALE,0,126000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,117,0,0,164950,DB3,146950,126000,5,126000,0,0,DB3,0,1,0
TL - TO SSI,35,0,METROPOLITAN,0,DATA / VALUE NOT PROVIDED,LIGHT COMMERCIAL VEHICLE,747099,747099,1123,0,PRIORITY SECTOR OTHERS,2741.8165798845084,PUNE,12.55,0,DATA / VALUE NOT PROVIDED,1138640.58,0,0,773,0,2312153,OTHER PRIORITY SECTOR,0,DATA / VALUE NOT PROVIDED,0,0,0,C,1868,0,1110000,INDIVIDUAL- FEMALE,0,1110000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,2396296,STD,754000,1860000,1,1110000,0,0,STD,1340000,0,0
DL - TO AGRICULTURE,36,0,RURAL,0,GENERAL,IRDP(MI),16271,16270.9,399,0,FARM IRRIGATION (MISCELLANEOUS (MI)),2741.8165798845084,KHEDA,9.7,0,HINDU,320684.2,0,0,480,0,1490000,AGRICULTURE - LONG TERM,0,FARMER,0,0,0,C,41,0,50000,INDIVIDUAL- MALE,0,50000,DL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,145872,STD,0,385000,1,50000,0,0,STD,0,0,0
TL - - RETAIL SCHEMES,38,0,METROPOLITAN,0,DATA / VALUE NOT PROVIDED,DENA NIVAS,987146,987146,183,0,PURCHASE OF HOUSE/ FLAT/ APARTMENT ETC,2741.8165798845084,PUNE,9.7,0,DATA / VALUE NOT PROVIDED,987146,0,0,387,0,2100000,HOUSING - PS,0,DATA / VALUE NOT PROVIDED,0,0,0,C,3949,0,1200000,INDIVIDUAL- MALE,0,1200000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,2100000,STD,0,1200000,1,1200000,0,0,STD,0,0,0
TL - TO OTHR PRIOR,35,0,RURAL,0,GENERAL,ANY OTHER,317052,603631,139,0,MANU. OF PERSONAL CARE PRODUCTS – TOILET SOAPS,2741.8165798845084,GANDHINAGAR,9.85,0,HINDU,686847,0,0,355,0,360761,MANUFACTURING - MICRO ENTERPRISES,286579,FARMER,0,0,0,C,1509,0,680220,INDIVIDUAL- MALE,0,680220,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,716,0,317052,STD,0,880220,1,680220,254566.47300702962,8444.205467885426,STD,2035593.8648014432,0,0
CC-AGRICULTURE ACTIVITIES,47,0,RURAL,0,DATA / VALUE NOT PROVIDED,KISAN CREDIT CARD,791402.1273820571,993,283,0,SUGARCANE,0,SOLAPUR,12,0,DATA / VALUE NOT PROVIDED,17991,20682.671414320288,0,194,0,275000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,2,0,80000,INDIVIDUAL- MALE,0,80000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,14232702.453512255,STD,0,164000,1,80000,0,0,STD,0,1,0
CC-AGRICULTURE ACTIVITIES,55,0,SEMI-URBAN,0,GENERAL,KISAN CREDIT CARD,219207,219207.28,283,0,GROUNDNUT,0,RAJKOT,9.728205136408748,0,HINDU,219207.28,0,25210,194,23806,174000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,548,0,220000,INDIVIDUAL- MALE,458001,220000,CC,436060,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,544000,STD,0,220000,1,220000,0,0,STD,370000,0,0
CC-AGRICULTURE ACTIVITIES,34,0,RURAL,0,DATA / VALUE NOT PROVIDED,KISAN CREDIT CARD,0,0,283,0,SUGARCANE,0,SOLAPUR,9.728205136408748,0,DATA / VALUE NOT PROVIDED,0,0,0,194,0,500000,AGRICULTURE - SHORT TERM,1,FARMER,0,0,0,B,0,0,45000,INDIVIDUAL- MALE,0,45000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,0,STD,0,45000,1,45000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,65,0,RURAL,0,DATA / VALUE NOT PROVIDED,KISAN CREDIT CARD,367057,367057,283,0,COTTON,0,SABAR KANTHA,13.25,0,HINDU,367057,0,0,194,142409,600000,AGRICULTURE - SHORT TERM,0,OTHERS,0,0,0,B,146823,1,300000,INDIVIDUAL- MALE,0,300000,CC,369500,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,600000,DB2,0,300000,4,300000,0,0,DB2,0,1,0
TL - - RETAIL SCHEMES,58,0,METROPOLITAN,0,GENERAL,DENA NIVAS,4136505,4136504.68,183,0,PURCHASE OF HOUSE/ FLAT/ APARTMENT ETC,2741.8165798845084,PUNE,9.7,0,HINDU,4136504.68,0,0,387,0,8900000,HOUSING - NPS,0,DATA / VALUE NOT PROVIDED,0,0,0,C,16546,0,5000000,INDIVIDUAL- MALE,0,5000000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,8900000,STD,0,5000000,1,5000000,0,0,STD,0,0,0
OD-TRADE AND SERVICES,47.3604653021062,0,RURAL,0,ST,DENA GENERAL CREDIT CARD,9500,9500,220,0,OTHER CASH CROPS,0,CHHOTAUDEPUR,12,0,HINDU,9500,0,0,231,0,25000,AGRICULTURE - SHORT TERM,9500,FARMER,0,0,0,B,9500,1,25000,INDIVIDUAL- MALE,0,25000,OD,10500,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,102458.8109805402,9500,0,25000,LOS,0,25000,6,25000,0,0,LOS,0,1,0
