GL,Age,CAD,Area,CADU,Caste,Scheme,UsedRv,Balance,Product,TotOsNF,Activity,AdhocAmt,District,InttRate,InttType,Religion,TotalAdv,AppGovGur,CURQTRINT,GLProduct,PRVQTRINT,RvPrimary,SubSector,Unsecured,Occupation,TotLimitNF,CoverGovGur,DepValPlant,FORMATGROUP,ACCTotalProv,BaselCatMark,CURRENTLIMIT,Constitution,CurQtrCredit,DRAWINGPOWER,FACILITYTYPE,PREQTRCREDIT,ProcessingDt,UnAdjSubSidy,UnappliedInt,ProvUnsecured,TotalWriteOff,AppropriatedRv,CUSTOMERSTATUS,OrgCostOfEquip,TotLimitFunded,Cust_AssetClass,LimitSanctioned,PriCashSecurity,CollCashSecurity,FACILITIESSTATUS,CollNonCRMSecurity,NextOneYrFacStatus,OrgCostOfPlantMech
CC-AGRICULTURE ACTIVITIES,57,0,SEMI-URBAN,0,CASTE NOT DECLARED,DENA KIASN CRESDIT CARD– PAIS,99396,99396,283,0,SUGARCANE,0,SURAT,7,0,HINDU,99396,0,14102,194,13519,200000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,248,0,100000,INDIVIDUAL- MALE,212553,100000,CC,209982,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,200000,STD,0,100000,1,100000,0,0,STD,0,0,0
TL - - RETAIL SCHEMES,23,0,RURAL,97124,GENERAL,VIDYA LAXMI,0,245752.09,856,0,EDU LOAN FOR ENGINEERING,2741.8165798845084,KOLHAPUR,11.55,0,HINDU,245752.09,0,0,393,0,37674386.13940598,EDUCATION,245752,DATA / VALUE NOT PROVIDED,0,0,0,C,983,0,320200,INDIVIDUAL- MALE,0,320200,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,983,0,0,STD,0,320200,1,320200,254566.47300702962,8444.205467885426,STD,2035593.8648014432,1,0
CC-AGRICULTURE ACTIVITIES,47.3604653021062,0,RURAL,0,GENERAL,KISAN CREDIT CARD,290476,290475.75,283,0,VEGETABLES-MIXED,0,GANDHINAGAR,7,0,HINDU,290475.75,0,41813,194,21009,300000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,726,0,300000,OTHER,678831,300000,CC,333206,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,300000,STD,0,300000,1,300000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,66,0,RURAL,0,GENERAL,KISAN CREDIT CARD,122901,122900.76,198,0,SUGARCANE,0,KOLHAPUR,7,0,HINDU,172900.76,0,14330,206,17102,750000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,307,0,121000,INDIVIDUAL- MALE,242548,121000,CC,303603,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,533113,STD,0,171000,1,121000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,61,0,RURAL,0,OBC,KISAN CREDIT CARD,23184,23184.28,283,0,GROUNDNUT,0,PORBANDAR,9.7,0,HINDU,23184.28,0,17968,194,30132,300000,AGRICULTURE - SHORT TERM,0,BUSINESSMAN / TRADER,0,0,0,B,58,0,140000,INDIVIDUAL- MALE,285000,140000,CC,528079,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,2,0,0,1700000,STD,0,140000,1,125000,0,0,STD,1400000,0,0
CC-AGRICULTURE ACTIVITIES,45,0,RURAL,0,GENERAL,KISAN CREDIT CARD,79788,79788,198,0,SUGARCANE,0,KOLHAPUR,7,0,HINDU,79788,0,8787,206,5851,300000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,199,0,97000,INDIVIDUAL- MALE,78750,80000,CC,75000,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,1,0,0,300000,STD,0,97000,1,97000,0,0,STD,0,0,0
CC - OPS,39,0,URBAN,0,DATA / VALUE NOT PROVIDED,PROG.FOR DEV. OF MINORITY,0,0,565,0,OTHER VEGETABLES,0,GANDHINAGAR,9.728205136408748,0,MUSLIM,0,0,0,213,0,37674386.13940598,AGRICULTURE - SHORT TERM,1,OTHER SERVICE PROVIDER,0,0,0,B,0,1,25000,INDIVIDUAL- MALE,0,25000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,1,4996,0,DB3,0,25000,5,25000,254566.47300702962,8444.205467885426,DB3,2035593.8648014432,1,0
CC-AGRICULTURE ACTIVITIES,51,0,RURAL,0,GENERAL,KISAN CREDIT CARD,99410,99410,283,0,SUGARCANE,0,KOLHAPUR,7,0,HINDU,99410,0,0,194,16531,651000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,24852,1,165000,INDIVIDUAL- MALE,11935,124000,CC,68234,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,651000,DB1,0,165000,3,165000,0,0,DB1,0,1,0
TL - TO SSI,47.3604653021062,0,METROPOLITAN,57832,DATA / VALUE NOT PROVIDED,DATA / VALUE NOT PROVIDED,4111282,4111282,226,0,"MANF OF PAPADS, APPALAMS ETC",2741.8165798845084,SURAT,13.75,0,DATA / VALUE NOT PROVIDED,7094714,0,0,287,0,23960689,SERVICES - SMALL ENTERPRISES,0,DATA / VALUE NOT PROVIDED,0,0,0,C,1644513,1,4774551,OTHER,0,4774551,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,102458.8109805402,0,0,13884865,DB2,0,7774551,4,5212000,437449,0,DB2,0,1,100000
DL - TO AGRICULTURE,41,0,RURAL,0,GENERAL,LOAN AGAINST BANK DEPOSITS,430000,443556,426,0,PRIORITY SECTOR OTHERS,2741.8165798845084,KOLHAPUR,8.5,10,HINDU,443556,0,0,471,0,430000,OTHER PRIORITY SECTOR,13556,DATA / VALUE NOT PROVIDED,0,0,0,C,1109,0,365000,INDIVIDUAL- MALE,0,365000,DL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,54,0,430000,STD,0,365000,1,365000,430000,0,STD,0,0,0
