D2D,PD,Count,EAD,LGD,K,RWA,Risk Wt,Res Exp
3.9,0.2015269850775347,118,178476103.17537093,0.881519945589944,0.18258121329851768,411356513.95454663,230.48268459242806,6151.275797911616
4.0,0.19206103176942893,112,114974920.25512831,0.9307653520050475,0.18693455016694868,264252535.20030373,229.83493670961437,141002.11045855502
4.1,0.18421754707892735,150,151740404.8778016,0.9114525431604125,0.1781611631831315,333322401.9850288,219.6662136584237,41250.351261264936
4.2,0.17591459360538106,132,125919065.83992188,0.915866196137248,0.17364217237700694,264210308.3232447,209.82549907027536,17631.583891654907
4.3,0.16794525245662595,122,133474315.64395407,0.895598868018333,0.16466424048473727,261896835.0548297,196.21515479685675,22787.138429897448
4.4,0.1604080731895837,132,243717263.2649101,0.9140970595251543,0.16289277933449164,511816161.952294,210.00406581620442,271940.078016154
4.5,0.15326549891416016,111,119008298.81228097,0.8942702574863073,0.15452929555169373,221949551.8416591,186.49922237083115,78839643.05274934
4.6,0.14650218030520246,113,97436972.13726914,0.9429107528205382,0.1580713599974754,189228148.02973583,194.2056940800165,3218.7034922883236
4.7,0.13961716173660188,126,133953806.38586602,0.9223781967727792,0.1497248157230554,248970590.109237,185.8630201160949,2035.5776942303537
4.8,0.13349953844203605,111,108684526.36775056,0.9114466116046281,0.1436448722777508,189865712.56832376,174.69433682388637,3283.653602208715
4.9,0.12747297903826071,129,100576828.9277437,0.9344664896333449,0.1429180686406802,173383344.3565668,172.38895499591527,5932.424335964279
5.0,0.1211839988162475,112,114438599.385866,0.9243259655392778,0.13689425387987453,193168091.00890732,168.796273325209,4287.034528048147
5.1,0.11616797674575756,116,124693317.3582251,0.9238033150011625,0.1332982798162079,203168973.954209,162.93493369058035,2387.047303082193
5.2,0.11065461427446395,126,150866599.6839609,0.9124044379640264,0.12786186043505107,234385561.83343005,155.35947805838185,3763.6253028459287
5.3,0.1056281012605946,106,111799997.44966935,0.905786892719334,0.12355992228630755,169146296.56992173,151.29364975707517,2931.817469457884
5.4,0.10066166845690303,119,106440316.48583175,0.923246318216146,0.12258418258815343,158573573.7243697,148.97886342293748,7039.517756221228
